ID,kashmiri_text
1,سہٕ ٲس اکھ قٲبل مکینیکل انجینئر ۔
2,بہٕ چھس پرٛٮ۪تھ دۄہ پننس سکولس منٛز گژھان ۔
3,تو٘ہہ چھو وقت ضائع کرن وول ۔
4,أمۍ اوس أمس پنٛنس جوشہٕ سۭتۍ متٲثر کوٚرمت ۔
5,کٲنہہ تہ نہٕ زانٛکٲری ز سہ آو کتہ پٮ۪ٹھ ۔
6,یم چھ انسٲنی فطرتٕک کیانٛہہ حقائق ۔
7,تمن پز رجحان آسن تہٕ حقیقی مقصد آسن ۔
8,تہۍ کتھ کٔنۍ ہٮ۪کو أمس یتھ کٔنۍ پھیرن دتھ ۔
9,یہ چھ مسک تالہٕ ۔
10,أمس چھ واریاہ قدر ۔
11,سۄ ٲس گلابی کیپس منٛز خوبصورت نظر یوان ۔
12,أمس چھ اکھ کمرہ یتھ منٛز اکھ بیڈ چھ ۔
13,ساروی کھوتہٕ نزدیٖک پوسٹ آفس کتہ چھ ؟
14,أمۍ سٕنٛد کمرٕچ وٹرائن ٲس خوبصورت ۔
15,بہٕ چھس تۄہہ یقین دوان ز کٲم گژھ کرنہٕ ۔
16,یہٕ اصول چھ نہٕ ۄنۍ عملس منٛز ۔
17,یہ چھ بہترین وقت زنانہٕ مسٲئلن پیٹھ سون سوچن اپ ڈیٹ کرن ۔
18,"اغوا کرن والٮ۪و کوٚر أمہ سٕنٛدس خانٛدانس نش 2, 00, 000 پۄنٛسہٕ تاوان ۔"
19,سٹارک چھ حرکت کرن شروع کران ۔
20,أمس اوس شہرس منٛز اکھ فوج ۔
21,سۄ چھ پانژ فٹ تھود ۔
22,مےٚ کٔر میچ زیننہٕ خٲطرٕ پننہ سطحس پٮ۪ٹھ بہترین کوشش ۔
23,سۄ ٲس نہٕ ینہٕ یژھان ۔
24,خاندانچ جائیداد آیٔیہٕ تقسیم کرنہٕ ۔
25,سۄ چھےٚ مستقبلٕچ ملکہ ۔
26,ڈاکٹرزن کوٚڑ أمۍ سنٛد بلیڈر ۔
27,سۄ چھےٚ گٲڑس سۭتۍ سٮ۪ٹھاہ سٮ۪ٹھاہ کران ۔
28,سہ گوٚو شہر پٮ۪ٹھ ۔
29,أمۍ سنٛد کردار اوس مضحکہ خیز تہٕ مضحکہ خیز ۔
30,طٲلبہ علمو چھ ہاسٹل خالی کرن ۔
31,تٔمۍ کٔرۍ أکس نر اولادٕچ سیر ۔
32,أمس چھ اکھ بہترین جھول ۔
33,دشواری دور کرن وول ہیکہ نہٕ مسئلہٕ طے کٔرتھ ۔
34,سہ چھ جنگلس منٛز دٲخل گژھنہٕ برٛونٛہہ سٮ۪ٹھاہ وتہٕ پار کران ۔
35,آتش فشاں سرگرمی ہنٛز چھ پانژھ بٔڑۍ قسمہٕ ۔
36,سہ چھ پنٕن کتھہ ثٲبت کرنٕچ کوٗشش کران ۔
37,مہربٲنی کٔرتھ تھٲیو پنن باتھ روم صاف ستھرا ۔
38,سکول گژھنہٕ برٛونٛہہ کٔرو پنٛنٮ۪ن جوٚن اصل پٲٹھۍ پالش ۔
39,تمن پز گۄڈٕ زخمن پٮ۪ٹھ پلو لاگن ۔
40,تہنز ساری کھوتہٕ بڑ طاقت چھ تہنز ادراک ۔
